iter	Passed	Remaining
1574	3366	3045
1575	3368	3043
1576	3370	3040
1577	3371	3038
1578	3373	3036
1579	3375	3033
1580	3377	3031
1581	3379	3029
1582	3381	3026
1583	3383	3024
1584	3385	3022
1585	3387	3020
1586	3389	3017
1587	3391	3015
1588	3393	3013
1589	3395	3011
1590	3397	3008
1591	3399	3006
1592	3401	3004
1593	3403	3001
1594	3405	2999
1595	3407	2997
1596	3409	2995
1597	3411	2993
1598	3413	2991
1599	3415	2988
1600	3418	2986
1601	3419	2984
1602	3421	2982
1603	3423	2979
1604	3425	2977
1605	3427	2974
1606	3429	2972
1607	3431	2970
1608	3433	2968
1609	3435	2966
1610	3437	2963
1611	3439	2961
1612	3441	2959
1613	3443	2956
1614	3445	2954
1615	3447	2952
1616	3449	2950
1617	3451	2948
1618	3453	2945
1619	3455	2943
1620	3457	2941
1621	3459	2938
1622	3461	2936
1623	3463	2934
1624	3465	2932
1625	3467	2929
1626	3469	2927
1627	3471	2925
1628	3473	2923
1629	3475	2921
1630	3477	2918
1631	3479	2916
1632	3481	2914
1633	3483	2911
1634	3485	2909
1635	3488	2908
1636	3489	2905
1637	3492	2903
1638	3494	2901
1639	3496	2899
1640	3499	2897
1641	3500	2895
1642	3502	2893
1643	3505	2891
1644	3507	2889
1645	3509	2886
1646	3511	2884
1647	3513	2882
1648	3515	2880
1649	3517	2877
1650	3519	2875
1651	3521	2873
1652	3523	2871
1653	3525	2868
1654	3527	2866
1655	3530	2865
1656	3532	2863
1657	3535	2861
1658	3537	2859
1659	3540	2857
1660	3542	2855
1661	3544	2853
1662	3546	2851
1663	3548	2848
1664	3549	2846
1665	3552	2844
1666	3553	2841
1667	3556	2839
1668	3558	2837
1669	3560	2835
1670	3562	2833
1671	3564	2830
1672	3566	2828
1673	3568	2826
1674	3570	2824
1675	3572	2822
1676	3574	2819
1677	3576	2817
1678	3578	2815
1679	3579	2812
1680	3582	2810
1681	3585	2809
1682	3587	2807
1683	3590	2805
1684	3592	2803
1685	3595	2801
1686	3597	2799
1687	3599	2798
1688	3602	2795
1689	3604	2793
1690	3606	2791
1691	3607	2789
1692	3609	2786
1693	3611	2784
1694	3613	2782
1695	3615	2779
1696	3617	2777
1697	3619	2775
1698	3621	2773
1699	3623	2771
1700	3626	2769
1701	3628	2767
1702	3630	2765
1703	3632	2762
1704	3634	2760
